Listing of Huygens PSF Data

File : C:\Users\Feiyu Fang\Downloads\Spectrometer 20151214 + telescope.zmx
Title: 
Date : 30/10/2017
Configuration 1 of 2


1.3000 to 2.4000 µm at 0.0000, 0.0000 (deg).
Data spacing is 4.839 µm.
Data area is 154.862 by 154.862 µm.
Strehl ratio: 0.995
Pupil grid size: 32 by 32
Image grid size: 32 by 32
Center point is: 17, 17
Center coordinates  :  0.00000000E+000,  3.41414989E-006 Millimeters
Centroid offset     : -5.12448949E-012, -4.11883242E-005 Millimeters
Centroid coordinates: -5.12448949E-012, -3.77741743E-005 Millimeters

Values are relative intensity.

 7.3269E-004	 8.5076E-004	 6.8739E-004	 3.7329E-004	 1.4683E-004	 1.2274E-004	 2.5691E-004	 4.5796E-004	 6.6207E-004	 8.3462E-004	 9.5661E-004	 1.0199E-003	 1.0247E-003	 9.8021E-004	 9.0977E-004	 8.4739E-004	 8.2279E-004	 8.4739E-004	 9.0977E-004	 9.8021E-004	 1.0247E-003	 1.0199E-003	 9.5661E-004	 8.3462E-004	 6.6207E-004	 4.5796E-004	 2.5691E-004	 1.2274E-004	 1.4683E-004	 3.7329E-004	 6.8739E-004	 8.5076E-004
 8.6493E-004	 6.9051E-004	 3.4446E-004	 1.3609E-004	 1.9063E-004	 3.9063E-004	 6.0501E-004	 8.0791E-004	 9.8449E-004	 1.0656E-003	 9.9689E-004	 8.0750E-004	 5.8344E-004	 3.9956E-004	 2.8476E-004	 2.3020E-004	 2.1527E-004	 2.3020E-004	 2.8476E-004	 3.9956E-004	 5.8344E-004	 8.0750E-004	 9.9689E-004	 1.0656E-003	 9.8449E-004	 8.0791E-004	 6.0501E-004	 3.9063E-004	 1.9063E-004	 1.3609E-004	 3.4446E-004	 6.9051E-004
 7.2900E-004	 3.6085E-004	 1.3933E-004	 2.4351E-004	 5.1598E-004	 7.5388E-004	 9.3494E-004	 1.0813E-003	 1.0922E-003	 8.6175E-004	 4.7371E-004	 1.5295E-004	 4.7080E-005	 1.2723E-004	 2.7459E-004	 3.9214E-004	 4.3503E-004	 3.9214E-004	 2.7459E-004	 1.2723E-004	 4.7080E-005	 1.5295E-004	 4.7371E-004	 8.6175E-004	 1.0922E-003	 1.0813E-003	 9.3494E-004	 7.5388E-004	 5.1598E-004	 2.4351E-004	 1.3933E-004	 3.6085E-004
 4.3253E-004	 1.4373E-004	 2.2569E-004	 5.4720E-004	 8.3526E-004	 9.8552E-004	 1.0130E-003	 8.7829E-004	 5.4899E-004	 1.8757E-004	 1.0862E-004	 4.8670E-004	 1.1747E-003	 1.8548E-003	 2.3147E-003	 2.5392E-003	 2.6014E-003	 2.5392E-003	 2.3147E-003	 1.8548E-003	 1.1747E-003	 4.8669E-004	 1.0862E-004	 1.8757E-004	 5.4899E-004	 8.7829E-004	 1.0130E-003	 9.8552E-004	 8.3526E-004	 5.4720E-004	 2.2569E-004	 1.4373E-004
 1.8723E-004	 1.6540E-004	 4.7090E-004	 8.1882E-004	 1.0087E-003	 9.4995E-004	 6.3256E-004	 2.2340E-004	 6.9045E-005	 4.7364E-004	 1.4465E-003	 2.6668E-003	 3.7050E-003	 4.3130E-003	 4.5329E-003	 4.5603E-003	 4.5526E-003	 4.5603E-003	 4.5329E-003	 4.3130E-003	 3.7050E-003	 2.6668E-003	 1.4465E-003	 4.7364E-004	 6.9045E-005	 2.2340E-004	 6.3256E-004	 9.4995E-004	 1.0087E-003	 8.1882E-004	 4.7090E-004	 1.6540E-004
 1.3189E-004	 3.5601E-004	 7.2465E-004	 1.0169E-003	 1.0171E-003	 6.0126E-004	 9.8919E-005	 1.5451E-004	 1.0598E-003	 2.4726E-003	 3.8137E-003	 4.7390E-003	 5.2412E-003	 5.4920E-003	 5.6575E-003	 5.7917E-003	 5.8489E-003	 5.7917E-003	 5.6575E-003	 5.4920E-003	 5.2412E-003	 4.7390E-003	 3.8137E-003	 2.4726E-003	 1.0598E-003	 1.5451E-004	 9.8919E-005	 6.0126E-004	 1.0171E-003	 1.0169E-003	 7.2465E-004	 3.5601E-004
 2.7199E-004	 6.0555E-004	 9.5777E-004	 1.1418E-003	 8.0677E-004	 1.5619E-004	 1.9111E-004	 1.4538E-003	 3.2282E-003	 4.5290E-003	 5.2229E-003	 5.8043E-003	 6.6048E-003	 7.5479E-003	 8.3929E-003	 8.9568E-003	 9.1527E-003	 8.9568E-003	 8.3929E-003	 7.5479E-003	 6.6048E-003	 5.8043E-003	 5.2229E-003	 4.5290E-003	 3.2282E-003	 1.4538E-003	 1.9111E-004	 1.5619E-004	 8.0677E-004	 1.1418E-003	 9.5777E-004	 6.0555E-004
 5.2049E-004	 8.4792E-004	 1.1359E-003	 1.0687E-003	 3.9992E-004	 8.9244E-005	 1.3038E-003	 3.4211E-003	 4.8806E-003	 5.5357E-003	 6.4897E-003	 8.1783E-003	 9.9378E-003	 1.1073E-002	 1.1506E-002	 1.1552E-002	 1.1528E-002	 1.1552E-002	 1.1506E-002	 1.1073E-002	 9.9378E-003	 8.1783E-003	 6.4897E-003	 5.5357E-003	 4.8806E-003	 3.4211E-003	 1.3038E-003	 8.9244E-005	 3.9992E-004	 1.0687E-003	 1.1359E-003	 8.4792E-004
 7.7141E-004	 1.0407E-003	 1.1571E-003	 7.1914E-004	 8.0164E-005	 7.7072E-004	 2.9931E-003	 4.8785E-003	 5.6985E-003	 6.9906E-003	 9.4710E-003	 1.1674E-002	 1.2312E-002	 1.1795E-002	 1.1126E-002	 1.0756E-002	 1.0655E-002	 1.0756E-002	 1.1126E-002	 1.1795E-002	 1.2312E-002	 1.1674E-002	 9.4710E-003	 6.9906E-003	 5.6985E-003	 4.8785E-003	 2.9931E-003	 7.7072E-004	 8.0164E-005	 7.1914E-004	 1.1571E-003	 1.0407E-003
 9.6322E-004	 1.1482E-003	 9.7089E-004	 2.7434E-004	 2.4726E-004	 2.1222E-003	 4.5184E-003	 5.6889E-003	 6.9744E-003	 9.9068E-003	 1.2573E-002	 1.2808E-002	 1.1900E-002	 1.2204E-002	 1.3887E-002	 1.5597E-002	 1.6275E-002	 1.5597E-002	 1.3886E-002	 1.2204E-002	 1.1900E-002	 1.2808E-002	 1.2573E-002	 9.9068E-003	 6.9744E-003	 5.6889E-003	 4.5184E-003	 2.1222E-003	 2.4726E-004	 2.7434E-004	 9.7089E-004	 1.1482E-003
